url,categoria,subcategoria,nombre,sku,marca,precio_ars,stock,unidad,tamano,material,uso,imagen
https://www.neuconmateriales.com.ar/catalog/product/view/id/23451,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°22 1.22m x 2.44m x 0.7mm,PRADECON-10116,PRADECON,55715.66,8,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-10113v2_3.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28454,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°25 0.5mm x 1.22m x 2.44m,TERNIUM-TEMP-CHALIGALV-25-122244,TERNIUM,40229.475,0,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/_/p_ternium-temp-chaligalv-25-122244.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/28455,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa galvanizada N°27 0.4mm x 1.22m x 2.44m,TERNIUM-TEMP-CHALIGALV-27-122244,TERNIUM,32927.609,141,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/_/p_ternium-temp-chaligalv-27-122244.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23461,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa lisa prepintada C25 negro 1.22m x 2.44m x 0.50mm,PRADECON-12051NE,PRADECON,59141.654,382,UNIDAD,1.22x2.44m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-12051nev2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23520,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa semilla de melon 1/4"" 1.5m x 3m x 6.35mm",PRADECON-14205,PRADECON,619274.37,7,UNIDAD,1.5x3m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14205v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23518,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa semilla de melon 1/8"" 1.245m x 3m x 3.2mm",PRADECON-14203,PRADECON,284063.351,3,UNIDAD,1.245x3m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14203v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/23519,Construcción,"Chapas lisas, laminadas y metales desplegados","Chapa semilla de melon 3/16"" 1.5m x 3m x 4.75mm",PRADECON-14204,PRADECON,479085.464,1,UNIDAD,1.5x3m,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/p/r/pradecon-14204v2.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/31079,Construcción,"Chapas lisas, laminadas y metales desplegados",Chapa trapezoidal galvanizada techos C22 13m x 1.1m x 0.7mm,VARIAS-T1010-22GALV-13000,VARIAS,243916.6158,0,UNIDAD,,Acero,Exterior e Interior,https://media.xcons.com.ar/media/catalog/product/v/a/varias-t1010-22galv-13000.png
https://www.neuconmateriales.com.ar/catalog/product/view/id/24739,Construcción,"Chapas lisas, laminadas y metales desplegados",Metal desplegado acero 440 x 20 x 5kg/m² hoja 1.25m x 3m,ETC-TEMP-440205-1253,ETC,89421.904,3,UNIDAD,1.25x3m,Acero,,https://media.xcons.com.ar/media/catalog/product/e/t/etc-temp-440205-1253.jpg
https://www.neuconmateriales.com.ar/catalog/product/view/id/24741,Construcción,"Chapas lisas, laminadas y metales desplegados",Metal desplegado acero 600 x 32 hoja x 11kg/m² hoja 1.5m x 3m,ETC-TEMP-6003211-153,ETC,162816.632,0,UNIDAD,,Acero,,https://media.xcons.com.ar/media/catalog/product/e/t/etc-temp-6003211-153.jpg
